N,mcsd,mcsd_emp_dQ,pool_ceiling,chosen_n,param_sd_dQ
4990,.0078400595299121,,296191,50000,.06
5000,,.0091367317717312,296191,50000,.06
5090,.0077626631677216,,296191,50000,.06
5192,.0076860338221075,,296191,50000,.06
5297,.0076094741607868,,296191,50000,.06
5403,.0075344603084278,,296191,50000,.06
5511,.007460267972862,,296191,50000,.06
5621,.0073869105569701,,296191,50000,.06
5734,.0073137614128623,,296191,50000,.06
5849,.0072415047926219,,296191,50000,.06
5966,.0071701461594906,,296191,50000,.06
6086,.0070991059712667,,296191,50000,.06
6208,.0070290038145129,,296191,50000,.06
6332,.0069598387871123,,296191,50000,.06
6459,.0068910752254332,,296191,50000,.06
6589,.0068227566178131,,296191,50000,.06
6721,.0067554251353183,,296191,50000,.06
6856,.0066885846630002,,296191,50000,.06
6993,.0066227424925173,,296191,50000,.06
7133,.0065574278541877,,296191,50000,.06
7276,.0064926693748715,,296191,50000,.06
7422,.0064284927451517,,296191,50000,.06
7571,.0063649208882917,,296191,50000,.06
7722,.0063023821652461,,296191,50000,.06
7877,.0062400663912968,,296191,50000,.06
8035,.0061784095422285,,296191,50000,.06
8196,.0061174250659364,,296191,50000,.06
8360,.0060571244167164,,296191,50000,.06
8528,.0059971655459803,,296191,50000,.06
8699,.0059379285527035,,296191,50000,.06
8873,.0058794187406288,,296191,50000,.06
9051,.0058213183568909,,296191,50000,.06
9233,.0057636581633421,,296191,50000,.06
9418,.0057067689559315,,296191,50000,.06
9606,.0056506491405693,,296191,50000,.06
9799,.0055947251284614,,296191,50000,.06
9995,.0055395977971986,,296191,50000,.06
10000,,.0059926488970893,296191,50000,.06
10196,.005484723263128,,296191,50000,.06
10400,.005430664375602,,296191,50000,.06
10609,.0053769055578578,,296191,50000,.06
10821,.0053239741067283,,296191,50000,.06
11038,.0052713813808434,,296191,50000,.06
11259,.0052193896924589,,296191,50000,.06
11485,.0051677813866755,,296191,50000,.06
11715,.0051168005253872,,296191,50000,.06
11950,.0050662390780233,,296191,50000,.06
12190,.0050161184153087,,296191,50000,.06
12434,.0049666573795518,,296191,50000,.06
12683,.0049176615621621,,296191,50000,.06
12937,.0048691465281758,,296191,50000,.06
13197,.0048209433120041,,296191,50000,.06
13461,.0047734345368098,,296191,50000,.06
13731,.0047262702327576,,296191,50000,.06
14006,.004679641374905,,296191,50000,.06
